rule,mass_first_kmeans,mass_second_kmeans,uncertainty_kmeans,mass_first_random,mass_second_random,uncertainty_random
Mean < 5.696,0.45896270871162415,0.1820073127746582,0.35902997851371765,0.0,0.2995336055755615,0.7004663944244385
5.696 < Mean < 9.586,0.38061627745628357,0.265672504901886,0.35371121764183044,0.0,0.2784299850463867,0.7215700149536133
9.586 < Mean < 13.475,0.3887268304824829,0.25775837898254395,0.3535148501396179,0.10883685201406479,0.07934210449457169,0.8118210434913635
Mean > 13.475,0.8780373334884644,0.007929811254143715,0.11403286457061768,0.3200998306274414,0.0,0.6799001693725586
Variance < 400.038,0.5167014598846436,0.13753558695316315,0.3457629680633545,0.28931015729904175,0.0,0.7106898427009583
400.038 < Variance < 718.473,0.3846023380756378,0.26129594445228577,0.3541017472743988,0.17621104419231415,0.019279079511761665,0.8045098781585693
718.473 < Variance < 1036.907,0.42964574694633484,0.20995204150676727,0.3604022264480591,0.12485036998987198,0.0614897646009922,0.8136598467826843
Variance > 1036.907,0.5958757400512695,0.12417782843112946,0.2799464166164398,0.0,0.3069649636745453,0.6930350661277771
Standard Deviation < 19.398,0.533918023109436,0.12180482596158981,0.34427714347839355,0.2879774570465088,0.0,0.7120225429534912
19.398 < Standard Deviation < 25.324,0.3667747378349304,0.28722521662712097,0.34599995613098145,0.2957514524459839,0.0,0.7042485475540161
25.324 < Standard Deviation < 31.249,0.47933897376060486,0.17167119681835175,0.348989874124527,0.08334377408027649,0.10406684875488281,0.8125894069671631
Standard Deviation > 31.249,0.5986901521682739,0.11825926601886749,0.28305062651634216,0.0,0.33882763981819153,0.6611723303794861
Entropy < 0.026,0.0,1.0,0.0,0.0,0.37466275691986084,0.6253372430801392
0.026 < Entropy < 0.073,0.31331294775009155,0.3542157709598541,0.3324712812900543,0.0,0.23958908021450043,0.7604109048843384
0.073 < Entropy < 0.121,0.4377957284450531,0.21051104366779327,0.35169321298599243,0.4762764871120453,0.0,0.5237234830856323
Entropy > 0.121,0.462821364402771,0.18667246401309967,0.3505061864852905,0.4548492431640625,0.0,0.5451507568359375
Skewness < 2.339,0.3818063735961914,0.2788097858428955,0.33938390016555786,0.5222405791282654,0.0,0.47775939106941223
2.339 < Skewness < 4.097,0.38911867141723633,0.2596490681171417,0.35123229026794434,0.09600840508937836,0.07045010477304459,0.8335415124893188
4.097 < Skewness < 5.854,0.3394429087638855,0.3241872787475586,0.33636975288391113,0.0,0.2763994038105011,0.7236005663871765
Skewness > 5.854,0.26342716813087463,0.3107685446739197,0.4258043169975281,0.0,0.3153935372829437,0.6846064925193787
Kurtosis < -15.863,0.0,0.0,1.0,0.10383190214633942,0.09616809338331223,0.800000011920929
