rule,mass_first_kmeans,mass_second_kmeans,uncertainty_kmeans,mass_first_random,mass_second_random,uncertainty_random
Mean < 5.696,0.24530364573001862,0.4708183705806732,0.283877968788147,0.0,0.24877670407295227,0.7512232661247253
5.696 < Mean < 9.586,0.2052355259656906,0.5895316004753113,0.20523276925086975,0.022515295073390007,0.17422479391098022,0.8032599091529846
9.586 < Mean < 13.475,0.22424466907978058,0.5554088950157166,0.2203463762998581,0.07364854216575623,0.11616721004247665,0.8101842403411865
Mean > 13.475,0.5572931170463562,0.19382153451442719,0.2488853633403778,0.14979670941829681,0.032423235476017,0.817780077457428
Variance < 400.038,0.28956687450408936,0.40244027972221375,0.3079928159713745,0.21961243450641632,0.004753149580210447,0.7756344676017761
400.038 < Variance < 718.473,0.2299683392047882,0.5456518530845642,0.22437983751296997,0.07478898763656616,0.11938431113958359,0.8058266639709473
718.473 < Variance < 1036.907,0.28619685769081116,0.42879214882850647,0.2850109338760376,0.12130381911993027,0.06762296706438065,0.8110731840133667
Variance > 1036.907,0.38679468631744385,0.296017587184906,0.317187637090683,0.03363899886608124,0.15544703602790833,0.8109139800071716
Standard Deviation < 19.398,0.29871514439582825,0.37952736020088196,0.3217575252056122,0.11510410159826279,0.06948171555995941,0.8154142498970032
19.398 < Standard Deviation < 25.324,0.20885545015335083,0.5870391726493835,0.20410533249378204,0.09458187222480774,0.0972750261425972,0.8081430792808533
25.324 < Standard Deviation < 31.249,0.3169111907482147,0.3743041157722473,0.3087846636772156,0.21006658673286438,0.0,0.7899333834648132
Standard Deviation > 31.249,0.3784794211387634,0.29996293783187866,0.32155755162239075,0.0,0.25024789571762085,0.7497521042823792
Entropy < 0.026,0.0,0.9479663372039795,0.0520336739718914,0.0,0.2976166307926178,0.7023833394050598
0.026 < Entropy < 0.073,0.09956242144107819,0.6964923143386841,0.20394524931907654,0.16336596012115479,0.028744686394929886,0.8078893423080444
0.073 < Entropy < 0.121,0.2873416543006897,0.43445271253585815,0.2782055735588074,0.20919173955917358,0.0,0.7908082604408264
Entropy > 0.121,0.30045896768569946,0.40883564949035645,0.2907054126262665,0.27514439821243286,0.0,0.7248556017875671
Skewness < 2.339,0.24219775199890137,0.5209775567054749,0.2368246465921402,0.33265042304992676,0.0,0.6673495769500732
2.339 < Skewness < 4.097,0.19583538174629211,0.6046597957611084,0.19950486719608307,0.09452693909406662,0.09349901974201202,0.8119741082191467
4.097 < Skewness < 5.854,0.1661333441734314,0.6346690058708191,0.1991976648569107,0.037808556109666824,0.1681375950574875,0.794053852558136
Skewness > 5.854,0.1559082269668579,0.5540966391563416,0.28999513387680054,0.0,0.24948205053806305,0.7505179643630981
Kurtosis < -15.863,0.0,0.0,1.0,0.058507226407527924,0.14149276912212372,0.800000011920929
-15.863 < Kurtosis < 24.581,0.20388033986091614,0.5901073813438416,0.20601220428943634,0.1357465237379074,0.05334566533565521,0.8109078407287598
24.581 < Kurtosis < 65.024,0.14701035618782043,0.6433099508285522,0.2096797376871109,0.027401262894272804,0.16595199704170227,0.8066467046737671
Kurtosis > 65.024,0.21653690934181213,0.3732472062110901,0.4102158546447754,0.0,0.29840078949928284,0.7015992403030396
Contrast < 48.638,0.2999477684497833,0.39053627848625183,0.30951595306396484,0.0,0.2119925618171692,0.7880074381828308
48.638 < Contrast < 130.232,0.22993510961532593,0.5419756174087524,0.22808924317359924,0.08078222721815109,0.09563286602497101,0.8235849142074585
130.232 < Contrast < 211.826,0.6373811960220337,0.16005420684814453,0.20256461203098297,0.12771858274936676,0.0557367168366909,0.816544771194458
Contrast > 211.826,0.25239965319633484,0.4475579857826233,0.3000422716140747,0.06148345023393631,0.12874025106430054,0.8097763061523438
Energy < 0.117,0.0,0.9456930160522461,0.05430695414543152,0.0,0.1920021027326584,0.8079978823661804
0.117 < Energy < 0.204,0.0,0.8983835577964783,0.10161646455526352,0.0,0.2624224126338959,0.7375776171684265
0.204 < Energy < 0.292,0.2677215039730072,0.4708050787448883,0.2614733874797821,0.2230556160211563,0.0,0.7769443988800049
Energy > 0.292,0.29849955439567566,0.41258949041366577,0.28891095519065857,0.1705360859632492,0.005719874054193497,0.8237440586090088
ASM < 0.019,0.0,0.9479663372039795,0.0520336739718914,0.0,0.31890004873275757,0.6810999512672424
0.019 < ASM < 0.058,0.13358831405639648,0.6645752191543579,0.2018364667892456,0.05025335028767586,0.14050661027431488,0.8092400431632996
